,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
103,Rio Gallegos,AR,-51.6226,-69.2181,55.45,9,75,18.41,broken clouds
104,San Juan,AR,-31.5375,-68.5364,67.89,43,82,5.61,broken clouds
105,Djambala,CG,-2.5447,14.7533,69.35,93,98,4.25,overcast clouds
106,Jalpaiguri,IN,26.5167,88.7333,65.32,69,0,4.76,clear sky
107,Capari,MK,41.0561,21.1783,47.64,52,0,4.59,clear sky
108,Hithadhoo,MV,-0.6,73.0833,80.01,78,98,8.23,overcast clouds
109,Buchanan,LR,5.8808,-10.0467,77.22,87,100,5.7,overcast clouds
110,Duiwelskloof,ZA,-23.6934,30.14,65.3,70,63,2.93,broken clouds
111,La Romana,DO,18.4273,-68.9728,78.42,81,25,7.14,scattered clouds
112,Zatoka,UA,46.0725,30.4654,57.7,60,76,17.2,broken clouds
113,Rocha,UY,-34.4833,-54.3333,57.87,98,24,7.09,few clouds
114,Balboa,CO,2.0396,-77.2168,63.05,95,100,2.55,moderate rain
115,Oranjestad,AW,12.524,-70.027,83.91,82,7,5.01,clear sky
116,Placido De Castro,BR,-10.3353,-67.1856,82.71,61,78,1.32,broken clouds
117,Mormugao,IN,15.4,73.8,78.06,94,75,2.3,broken clouds
118,Mutoko,ZW,-17.397,32.2268,61.27,65,79,6.51,broken clouds
119,Lenina,RU,46.0667,39.7833,53.15,92,39,7.72,scattered clouds
120,Iralaya,HN,15.0,-83.2333,79.99,83,28,6.76,light rain
121,Tara,RU,56.8944,74.371,40.28,95,100,8.5,light rain
122,Mpanda,TZ,-6.3655,31.0409,69.85,59,71,3.0,broken clouds
123,Bredasdorp,ZA,-34.5322,20.0403,59.7,87,94,8.7,overcast clouds
124,Saryozek,KZ,44.3583,77.9753,40.03,60,99,4.38,overcast clouds
125,Pimenta Bueno,BR,-11.6725,-61.1936,74.44,93,84,2.55,broken clouds
126,Battle Creek,US,42.3212,-85.1797,40.66,47,100,10.36,overcast clouds
127,Nynashamn,SE,58.9034,17.9479,39.16,78,60,11.81,broken clouds
128,Coronel Martinez,PY,-25.75,-56.6167,67.62,99,100,4.34,overcast clouds
129,Luderitz,NA,-26.6481,15.1594,59.95,90,9,15.3,clear sky
130,Vestmannaeyjar,IS,63.4427,-20.2734,44.31,75,100,6.24,overcast clouds
131,Bereda,ES,43.2686,-7.5406,54.41,90,21,8.14,few clouds
132,Grand Gaube,MU,-20.0064,57.6608,66.38,72,21,1.99,few clouds
133,Sao Felix Do Xingu,BR,-6.6447,-51.995,81.3,57,82,1.83,broken clouds
134,Thunder Bay,CA,48.4001,-89.3168,39.99,46,96,9.44,overcast clouds
135,Kishtwar,IN,33.3167,75.7667,48.56,72,95,4.81,overcast clouds
136,Viedma,AR,-40.8135,-62.9967,72.5,44,93,15.37,overcast clouds
137,Bronnoysund,NO,65.4625,12.1997,44.6,93,75,9.22,broken clouds
138,Tazovskiy,RU,67.4667,78.7,36.0,88,100,16.91,light rain
