City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
172,Kuryk,KZ,61.61,overcast clouds,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
173,Hun,LY,69.35,scattered clouds,29.1268,15.9477,Alrwasi Hotel
174,Luis Correia,BR,79.99,few clouds,-2.8792,-41.6669,Hotel Amarração
175,Mabaruma,GY,76.14,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
176,Santa Cruz,BO,80.65,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
177,Cidreira,BR,63.7,few clouds,-30.1811,-50.2056,Hotel Castelo
178,Graaff-Reinet,ZA,77.52,scattered clouds,-32.2522,24.5308,Rietjiesbos Self Catering
179,Camabatela,AO,64.69,overcast clouds,-8.1881,15.375,Comércio e Prestação de Serviços
180,Matara,LK,76.91,moderate rain,5.9485,80.5353,Amaloh Boutique Resort
181,Papayal,PE,75.31,broken clouds,-4.0761,-80.7361, 
182,Harper,LR,76.39,light rain,4.375,-7.7169,Screensaver
183,Ambilobe,MG,66.87,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
184,Gwembe,ZM,68.77,clear sky,-16.4975,27.6069, 
185,Ambovombe,MG,68.32,clear sky,-25.1667,46.0833,RELAHARA
186,Mandera,KE,80.53,overcast clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
187,Savantvadi,IN,72.34,broken clouds,15.9,73.8167,Galaxy Lake Resort
188,Juruti,BR,81.61,overcast clouds,-2.1522,-56.0922,Pousada Marupiara
190,Kansanshi,ZM,63.82,scattered clouds,-12.0951,26.4273, 
191,Cockburn Town,TC,83.07,few clouds,21.4612,-71.1419,Osprey Beach Hotel
192,Vetlanda,SE,35.33,clear sky,57.4289,15.0776,Best Western Vetlanda Stadshotell
193,Tamandare,BR,74.7,few clouds,-8.7597,-35.1047,Pousada 100 Passos
194,Sao Joao Da Barra,BR,75.29,moderate rain,-21.6403,-41.0511,Pousada Porto De Canoas
195,Saint Anthony,US,48.15,overcast clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
196,Madingou,CG,75.54,scattered clouds,-4.1536,13.55,HOTEL KIM ELISA
197,Kostomuksha,RU,35.02,overcast clouds,64.571,30.5767,U Mikhailicha
198,Biala Podlaska,PL,40.17,clear sky,52.0324,23.1165,Hotel Osjann
199,Buraydah,SA,76.12,clear sky,26.326,43.975,Mövenpick Qassim
200,Gazanjyk,TM,55.44,clear sky,39.2446,55.5154,Railway motel
201,Isiro,CD,66.69,overcast clouds,2.7739,27.616,Guest House Hewa Bora
202,Doha,QA,82.38,clear sky,25.2867,51.5333,Mövenpick Doha
203,Oil City,US,39.58,light rain,41.4339,-79.7064,Days Inn by Wyndham Oil City Conference Center
204,Bakel,SN,85.89,broken clouds,14.905,-12.4568,Ablaye Diallo Bakel
205,Nikolskoye,RU,37.29,broken clouds,59.7035,30.7861,Tourist House - Sablino
206,Kavaratti,IN,81.14,scattered clouds,10.5669,72.642,Green leaf
207,Tukrah,LY,69.08,scattered clouds,32.5341,20.5791,Lagrota restaurant
208,Ouadda,CF,70.2,broken clouds,8.0777,22.4007, 
209,Vityazevo,RU,55.81,clear sky,44.9931,37.2719,Altair Guest House
210,Muzhi,RU,33.01,broken clouds,65.3667,64.6667,Gostinitsa
211,Touros,BR,78.03,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
212,Reconquista,AR,74.48,overcast clouds,-29.15,-59.65,Grand Hotel
213,Baghdad,IQ,67.91,overcast clouds,33.3406,44.4009,Baghdad Hotel
214,Saint-Leu,RE,68.83,few clouds,-21.15,55.2833,La Caz Oceane
215,Pokhara,NP,58.55,clear sky,28.2333,83.9833,OYO 170 Hotel View Point
216,Port Shepstone,ZA,70.81,overcast clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
217,Ostrovnoy,RU,36.95,overcast clouds,68.0531,39.5131, 
218,Abtenau,AT,51.03,broken clouds,47.5637,13.346,Genuß- und Vitalhotel Moisl
219,Gazalkent,UZ,39.99,scattered clouds,41.5581,69.7708,"Gostinitsa ""Raduga"""
220,Areia Branca,BR,80.65,scattered clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
221,Alenquer,BR,80.04,broken clouds,-1.9417,-54.7383,Detinha Hotel
222,Bubaque,GW,82.0,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
223,Dudinka,RU,34.63,light snow,69.4058,86.1778,Hotel Viktoria
224,Porto Torres,IT,59.18,clear sky,40.835,8.3972,Hotel Elisa
225,Port Hawkesbury,CA,62.58,overcast clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
226,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
227,Chuy,UY,58.62,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
228,Hit,IQ,82.83,overcast clouds,33.6416,42.8251,المعلق حسان رزاق
229,Lethem,GY,79.07,overcast clouds,3.3803,-59.7968,Savannah Inn
230,Boueni,YT,71.58,few clouds,-12.9025,45.0761,The feet in water
231,Hobe Sound,US,65.98,scattered clouds,27.0595,-80.1364,Floridays RV Park
232,Olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
233,Tanout,NE,80.42,clear sky,14.9709,8.8879, 
234,Husavik,IS,33.4,overcast clouds,66.0449,-17.3389,Bjarnabúð
235,Atkinson,US,50.49,clear sky,42.8384,-71.147,Atkinson Resort & Country Club
236,Komsomolskiy,UZ,42.24,few clouds,40.4272,71.7189,Ikathouse
237,Nauta,PE,74.95,overcast clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
238,Rafai,CF,67.93,overcast clouds,4.95,23.9167, 
239,Ponta Delgada,PT,66.92,light intensity shower rain,37.7333,-25.6667,Vila Nova Hotel
240,Sidi Ali,DZ,80.13,scattered clouds,36.0998,0.4206,Khaled
241,Michigan City,US,45.0,clear sky,41.7075,-86.895,Microtel Inn & Suites by Wyndham Michigan City
242,Karwar,IN,76.21,overcast clouds,14.8,74.1333,Netalco Connects
243,Pudozh,RU,37.56,overcast clouds,61.8099,36.5345,Guest-House na Transportnoy
244,Cove,BJ,73.76,scattered clouds,7.221,2.3402,TG Hôtel
